15,17,24,14,21,5,29,13,11,30,4,9,21,30,26,21,28,12,19,8,3,23,6,12,26,17,18,27,4,12,18,5,18,8,23,4,2,5,10,7,18,7,4,23,18,4,10,25,22,10,10,17,4,23,29,13,21,9,26,20,5,26,13,2,16,16,30,1,13,27,24,21,22,29,11,1,14,20,9,19,30,4,7,8,17,17,8,8,9,4,16,19,20,25,16,14,30,19,8,28,
27,2,24,7,14,21,18,30,13,14,9,11,28,21,13,19,19,18,22,29,15,3,30,16,22,22,13,20,22,27,22,1,2,30,22,22,20,3,10,19,5,14,20,9,16,24,27,27,19,8,20,21,23,10,22,15,12,10,25,23,29,3,15,3,6,18,16,22,7,10,13,12,17,25,15,3,9,22,16,7,4,27,14,5,10,7,21,27,3,9,8,15,2,18,19,29,8,9,9,4,
28,14,2,15,1,9,2,2,8,18,8,20,30,10,11,27,16,29,5,23,15,17,6,6,9,21,11,19,5,16,25,4,22,11,9,9,13,28,11,1,15,3,23,11,18,10,5,12,6,10,23,8,30,20,21,30,11,30,28,1,27,11,29,29,21,14,13,2,19,25,5,24,12,15,30,1,3,28,4,12,23,18,27,4,24,21,13,8,17,13,16,6,8,26,26,11,1,21,18,7,
6,13,14,5,7,14,15,9,28,21,14,12,23,18,1,11,3,15,26,1,7,21,21,9,18,5,5,28,26,10,19,2,29,19,9,23,27,19,7,30,18,17,22,10,4,28,13,8,11,16,10,9,25,2,22,11,28,14,18,23,7,25,27,1,12,22,2,25,27,11,12,21,26,16,16,21,18,12,8,7,24,15,20,8,15,22,17,11,3,10,27,27,1,1,7,2,20,11,28,6,
3,15,10,9,8,1,27,23,6,14,23,29,2,22,9,21,25,24,15,15,14,2,4,13,10,5,11,9,13,8,11,3,6,22,11,7,19,21,28,30,22,23,4,30,14,30,14,26,4,16,8,14,25,30,11,8,1,9,23,13,15,22,8,14,27,13,7,2,1,5,14,14,4,22,5,9,29,9,10,10,18,28,10,27,12,4,11,25,23,3,18,3,11,22,18,11,11,12,12,22,
28,1,21,30,17,20,10,21,5,11,4,2,17,25,1,7,12,25,6,28,16,25,22,22,15,11,12,10,18,21,23,22,6,4,15,15,27,4,9,19,6,23,7,15,28,8,8,5,3,12,16,20,25,19,1,3,19,28,10,26,10,17,22,6,5,27,21,12,3,12,28,24,27,1,24,13,15,30,7,29,23,11,19,16,16,25,12,2,30,6,24,25,12,28,3,30,26,15,19,19,
18,29,17,10,21,16,7,25,1,8,5,16,8,24,2,19,28,30,23,22,20,28,5,27,25,10,26,21,1,13,20,8,7,22,29,1,13,13,11,13,22,2,13,25,25,23,24,13,5,17,28,13,3,23,13,23,11,21,11,7,21,22,24,15,18,14,10,30,11,14,28,18,12,9,26,23,25,16,8,2,5,27,6,18,11,5,26,25,15,18,23,3,4,7,7,10,4,24,30,21,
16,2,8,10,18,16,4,9,9,21,17,22,25,11,28,23,8,13,28,23,17,7,2,12,20,7,15,15,17,1,19,20,21,22,10,18,18,14,3,4,6,29,16,30,2,23,19,6,3,25,12,7,12,13,6,7,10,16,18,23,25,2,14,17,5,13,27,13,8,8,11,27,1,30,16,10,15,6,7,22,11,22,30,20,8,27,15,23,10,5,23,29,29,22,21,23,5,5,18,23,
18,19,4,22,14,9,4,12,4,8,22,14,30,22,29,8,9,29,16,28,14,22,27,28,22,1,2,3,28,22,17,3,20,2,28,19,22,21,9,10,5,8,23,29,14,25,24,18,8,5,14,23,6,1,29,10,20,23,15,6,26,4,1,28,14,4,27,23,17,10,11,7,19,7,5,18,24,23,11,16,23,25,30,21,13,8,23,7,6,10,27,22,4,24,12,18,21,3,17,15,
9,2,8,15,1,27,26,13,23,5,11,18,1,4,21,6,21,30,29,15,5,8,24,24,23,25,15,28,30,23,14,2,1,23,9,28,2,6,7,1,15,26,26,30,6,13,20,4,17,11,8,29,21,18,2,18,18,3,8,4,14,8,17,23,4,4,12,1,27,3,11,16,11,3,6,23,29,17,22,1,12,18,8,20,13,21,7,3,27,9,18,23,5,3,13,3,11,7,16,2,
